实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_crt_arbitrary_pthread,1000,1337006139375617,8,0.007822,0.000555,0.007047,0.008316,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,1,0.008405,0.000035,0.008358,0.008442,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,2,0.008656,0.000436,0.008285,0.009267,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,4,0.006946,0.000102,0.006827,0.007076,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,8,0.008292,0.000202,0.008137,0.008578,PASS
ntt_serial,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,100000000000000000,1,0.008864,0.000199,0.008587,0.009047,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,1,0.007806,0.000087,0.007695,0.007908,PASS
