实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_serial,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,1000000000000000000,1,0.039429,0.010110,0.026875,0.051633,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,1,0.027270,0.002152,0.024500,0.029747,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,2,0.033735,0.003384,0.028995,0.036674,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,4,0.036725,0.002249,0.033572,0.038668,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,8,0.034998,0.007325,0.027674,0.045004,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,1,0.028828,0.001400,0.027240,0.030646,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,2,0.043242,0.007052,0.034370,0.051624,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,4,0.042840,0.006357,0.034478,0.049879,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,8,0.035729,0.004479,0.030045,0.040991,PASS
ntt_serial,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,5000000000000000000,1,0.041492,0.007671,0.031779,0.050532,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,1,0.056237,0.003020,0.053105,0.060318,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,2,0.045290,0.017926,0.031028,0.070572,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,4,0.038940,0.004225,0.035757,0.044911,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,8,0.037755,0.006705,0.028734,0.044795,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,1,0.041580,0.002390,0.038258,0.043779,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,2,0.050003,0.004394,0.043985,0.054355,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,4,0.033303,0.008330,0.025614,0.044877,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,8,0.037488,0.009251,0.028982,0.050350,PASS
ntt_serial,10000,7340033,1,0.065556,0.010099,0.054458,0.078891,PASS_REF_SELF_SKIP
ntt_pthread,10000,7340033,1,0.061736,0.008728,0.050525,0.071813,PASS
ntt_pthread,10000,7340033,2,0.064285,0.004487,0.059247,0.070145,PASS
ntt_pthread,10000,7340033,4,0.063341,0.002484,0.059883,0.065605,PASS
ntt_pthread,10000,7340033,8,0.042089,0.010478,0.034460,0.056905,PASS
ntt_pthread_optimized,10000,7340033,1,0.089993,0.013631,0.075045,0.108009,PASS
ntt_pthread_optimized,10000,7340033,2,0.077773,0.014838,0.060600,0.096803,PASS
ntt_pthread_optimized,10000,7340033,4,0.055628,0.012329,0.038279,0.065813,PASS
ntt_pthread_optimized,10000,7340033,8,0.069498,0.006991,0.060121,0.076899,PASS
ntt_openmp,10000,7340033,1,0.055270,0.003908,0.049747,0.058204,PASS
ntt_openmp,10000,7340033,2,0.054299,0.007241,0.044433,0.061610,PASS
ntt_openmp,10000,7340033,4,0.070119,0.009215,0.063084,0.083136,PASS
ntt_openmp,10000,7340033,8,0.031088,0.007437,0.025668,0.041604,PASS
ntt_crt_arbitrary_serial,10000,7340033,1,0.092962,0.032305,0.063169,0.137854,PASS
ntt_crt_arbitrary_pthread,10000,7340033,1,0.081060,0.017763,0.061297,0.104370,PASS
ntt_crt_arbitrary_pthread,10000,7340033,2,0.052756,0.000413,0.052178,0.053118,PASS
ntt_crt_arbitrary_pthread,10000,7340033,4,0.056648,0.021033,0.040179,0.086334,PASS
ntt_crt_arbitrary_pthread,10000,7340033,8,0.067391,0.008832,0.059449,0.079711,PASS
ntt_crt_arbitrary_openmp,10000,7340033,1,0.089079,0.006225,0.083109,0.097667,PASS
ntt_crt_arbitrary_openmp,10000,7340033,2,0.054804,0.006315,0.048404,0.063398,PASS
ntt_crt_arbitrary_openmp,10000,7340033,4,0.056579,0.014405,0.040904,0.075684,PASS
ntt_crt_arbitrary_openmp,10000,7340033,8,0.060141,0.013191,0.042295,0.073768,PASS
ntt_serial,10000,104857601,1,0.052072,0.024789,0.030237,0.086742,PASS_REF_SELF_SKIP
ntt_pthread,10000,104857601,1,0.061900,0.022025,0.039572,0.091873,PASS
ntt_pthread,10000,104857601,2,0.069155,0.011500,0.060195,0.085390,PASS
ntt_pthread,10000,104857601,4,0.071579,0.002992,0.068178,0.075460,PASS
ntt_pthread,10000,104857601,8,0.060267,0.015359,0.039607,0.076404,PASS
ntt_pthread_optimized,10000,104857601,1,0.038454,0.000826,0.037332,0.039297,PASS
